City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,blackmans bay,-43.0167,147.3167,22.07,69,74,0.45,AU,1732592077
1,port-aux-francais,-49.35,70.2167,3.11,83,51,16.57,TF,1732592077
2,hasaki,35.7333,140.8333,16.18,55,100,3.36,JP,1732592077
3,ushuaia,-54.8,-68.3,8.81,66,20,8.75,AR,1732591803
4,hengchun,22.0042,120.7439,26.07,69,1,5.65,TW,1732592078
5,hawaiian paradise park,19.5933,-154.9731,24.73,86,75,3.09,US,1732592078
6,naze,28.3667,129.4833,20.51,91,95,11.65,JP,1732592078
7,bilibino,68.0546,166.4372,-33.73,98,10,1.61,RU,1732592078
8,karratha,-20.7377,116.8463,33.3,37,95,6.19,AU,1732592078
9,rongelap,11.1635,166.8941,28.41,81,58,7.89,MH,1732592078
10,ilulissat,69.2167,-51.1,-3.99,74,100,5.14,GL,1732592078
11,tolanaro,-25.0319,46.9987,26.04,83,20,5.14,MG,1732592078
12,balikpapan,-1.2675,116.8289,30.55,62,94,3.09,ID,1732592078
13,lebu,-37.6167,-73.65,10.89,84,2,1.11,CL,1732591866
14,puerto natales,-51.7236,-72.4875,7.14,87,7,1.09,CL,1732592079
15,adamstown,-25.066,-130.1015,22.54,77,16,8.55,PN,1732592079
16,daru,-9.0763,143.2092,27.85,85,45,5.86,PG,1732592079
17,wailua homesteads,22.0669,-159.378,25.44,76,0,7.72,US,1732592079
18,iqaluit,63.7506,-68.5145,-12.15,72,100,2.57,CA,1732592079
19,port elizabeth,-33.918,25.5701,18.16,94,75,5.14,ZA,1732592079
20,jiangyou,31.7667,104.7167,9.72,56,100,2.01,CN,1732592080
21,port mathurin,-19.6833,63.4167,24.68,73,7,7.36,MU,1732592080
22,yorkton,51.2167,-102.4677,-23.09,84,0,4.63,CA,1732592061
23,albany,42.6001,-73.9662,0.3,79,99,1.4,US,1732591960
24,puerto ayora,-0.7393,-90.3518,22.53,85,25,1.79,EC,1732592080
25,bardai,11.65,7.2333,15.41,33,42,4.2,NG,1732592080
26,yellowknife,62.456,-114.3525,-5.88,93,100,7.2,CA,1732592080
27,houlton,46.1262,-67.8403,3.23,79,100,2.57,US,1732592080
28,morogoro,-6.8167,37.6667,21.84,88,20,0.42,TZ,1732592081
29,grytviken,-54.2811,-36.5092,0.24,68,100,3.76,GS,1732592081
30,edinburgh of the seven seas,-37.0676,-12.3116,13.45,75,100,7.94,SH,1732592081
31,mahina,-17.5065,-149.489,28.87,65,20,2.57,PF,1732592081
32,isafjordur,66.0755,-23.124,-0.34,85,54,4.95,IS,1732592081
33,fort st. john,56.2499,-120.8529,-20.06,84,40,3.6,CA,1732592081
34,tynda,55.1667,124.7167,-12.65,91,100,2.55,RU,1732592081
35,ancud,-41.8697,-73.8203,9.64,88,12,4.25,CL,1732591872
36,sao geraldo do araguaia,-6.4006,-48.555,22.92,93,96,1.02,BR,1732592082
37,jackson,42.4165,-122.8345,6.89,92,100,2.57,US,1732591924
38,mili,6.0815,171.735,27.65,80,82,5.3,MH,1732592082
39,tralee,52.2704,-9.7026,4.27,79,27,1.29,IE,1732592082
40,okhotsk,59.3833,143.3,-13.47,69,0,3.93,RU,1732592082
41,aasiaat,68.7098,-52.8699,-5.7,68,100,6.42,GL,1732592082
42,waitangi,-43.9535,-176.5597,15.46,92,37,3.13,NZ,1732592082
43,carnarvon,-24.8667,113.6333,25.61,49,0,9.18,AU,1732592083
